Amherst,1
UF,3
URoch,4
JHU,5
CMU,5
UNC,5
Harvey Mudd,5
UCSD,6
Wellesley,6
Barnard,6
UCD,7
Bowdoin,7
UCSB,8
Tufts,9
Georgia Tech,10
Swarthmore,10
Pomona,11
Wustl,14
Notre Dame,16
USC,18
Emory,21
Vanderbilt,22
UMich,22
Williams,22
UVA,23
Northwestern,24
CalTech,26
Rice,27
NYU,27
MIT,28
UC Berkeley,28
Georgetown,32
UPenn,34
Duke,34
Brown,42
UChicago,44
Princeton,47
Dartmouth,47
Columbia,57
UCLA,58
Yale,80
Cornell,81
Stanford,153
Harvard,219
